title,desc,source,date
拾荒老人养大弃婴22年,最近微博上有一个让万千网友感动流泪的影片，一名拾荒老人22年前在天桥下发现一个纸箱，里面装的竟然是刚出生的女婴，连脐带都还挂在肚子上，当下他不顾自己生活困苦，坚持要拯救这孩子。老人回忆说：“我把孩子抱上手，舍不得撒手，怎么办呢？”尽管自己家中还有3个没有妈妈的侄子要养，收入不稳定，但他仍咬紧牙根，每天省吃俭用，用牛奶、白糖、鸡蛋及香油，把女婴养大。女孩学校成绩非常优异，让老翁相当引以为傲。老翁说，自己不求什么回报，只希望在生命走到尽头前，可以看到女儿嫁给好人家，看到自己孩子有人照顾，他也就了无遗憾。,Zaobao,2018-12-23
中国党媒说芬太尼滥用的责任完全在美国,据路透社报道说，上个星期五，中国官方媒体回击了美国官员声称中国没有打击芬太尼和芬太尼相关物质流入美国的说法，称对阿片类药物滥用的责任在于使用者。,VOA,2019-08-24
人口老化警鐘 長輩扶養費爭議3年增4成,隨人口老化，失能老人逐年增加，爭議也隨之而來，根據法扶基金會統計，過去 3 年與「給付扶養費」相關案件量暴增約 42.7%。家總推出指引工具，呼籲民眾多和家人溝通，凝聚共識。,芋傳媒,2019-08-24
廢除元號制的理由：「令和」會成為日本最後的元號嗎？,"隨著日本人口老化，以及留學生和外國人口移居日本的限制開始放寬，日本人整體支持維持元號制的呼聲很有可能將持續下降。究竟這個「獨步天下」的元號制還能維持多久？ 標籤: 令和, 年號, 元號, 天皇, 日本",NewsLens,2019-04-04
失智老人基金會拍紀錄片 日落之前省思獨老年代,失智老人基金會拍攝紀錄片「日落之前」，透過記錄 4 位獨居長者生活，盼喚起大眾一同關心獨居長者的生命處境，給予長者更多尊重與關懷。,芋傳媒,2019-04-04
前总统卡特胯部骨折,美国前总统吉米·卡特星期一胯部骨折，在成功接受手术后，目前正在康复之中。,VOA,2019-05-14
福原爱育儿心得(中) 不慌不忙带小孩的丈夫让我吃惊：朝日新聞中文网,在台湾，有着生完孩子以后休养身体的文化。由于担心自己在紧要关头能不能顺利地理解中文，因此曾犹豫是在台湾生还是在日本生，不过最后让我做出决定的理由之一便是产后康复中心。我也住了1个月的院。,Asahi,2019-01-06
习近平倡议一国两制，蔡英文回应“绝不接受”,中国国家主席习近平星期三在告台湾同胞书发表40周年纪念会上表示，一国两制是为了照顾台湾的现时情况及维护台湾同胞的利益福祉。不过，台湾总统蔡英文则回应指出，台湾绝不会接受也坚决反对一国两制。,VOA,2019-01-06
失智被騙一億 財產給兒子就被棄養  小心銀色財務危機！,根據警政署統計，60歲以上老人受騙的人數，5年翻了一倍，以去年受害人數為例，60歲以上老人占了一成四。若統計失智長者相關的民事糾紛，則11年來增加了16倍。92歲，家住桃園市的江老太太，6年多前繼承丈夫價值5百多萬元房子及7百多萬元現金的財產後，以為可以「養兒防老」，把現金全部給了兒子；兒子卻沒有擔,NewTalk.tw,2019-03-07
美议员提议案  追究中国生产和贩运芬太尼责任,鸦片类合成药物芬太尼(Fentanyl)近年来大肆涌入美国，造成众多人上瘾和死亡。美国政府指控中国是芬太尼泛滥的主要源头。为此，美国两党众议员日前提出议案追究中国政府官员和个体生产和出口芬太尼的责任。,RFA,2019-03-07
台大產學合作打造先端實驗室 無人機導入農業,台灣農業面臨人口老化、缺工等問題，台大生農學院透過產學合作成立「先端智農實驗室」，希望將無人機等先端科技應用在農業，打造智慧農業新世代。,芋傳媒,2019-08-20
明明與家人同住，為何仍走向「孤獨死」的人生終點？日本行政解剖揭露的悲傷現實：同居孤獨死,獨居者陳屍家中，經過一段時間才被發現的「孤獨死」，已經成為日本社會備受關注的課題。不過根據日本兵庫縣監察醫務室的最新統計，即便是與家人同居，該縣仍有部分在家中過世的民眾，竟在死後超過24小時才被人發現。這種「同居孤獨死」的悲傷情況，也使得繭居與失智問題再度浮上檯面，與家人同居也不,風傳媒,2019-08-20
通用电气对庞氏骗局揭发者的财务指控作出新反驳,通用电气公司周一进一步驳斥了Harry Markopolos有关该公司财务状况不明晰的说法，并将反驳重点放在其长期护理业务和油气子公司贝克休斯。,WSJ,2019-08-20
107年人口總增加率僅千分之0.8 歷年來最低,台灣107年的人口總數，只比106年增加1.8萬人，總增加率只有千分之0.8，首度跌至千分之一以下，不論是人口增加數還是增幅，都是歷年最低。人口老化正是台灣面臨的極大危機之一。內政部今（19）天發布統計指出，107年戶籍登記人口數為2358.9萬人，比106年增加了1.8萬人，總增加率千分之0.8。,NewTalk.tw,2019-01-20
印度政府：20年後高齡化社會 人口紅利不再,印度政府發表的 2019 年經濟調查報告指出，隨著印度人口成長急速放緩，印度人口成長將在 20 年後停滯， 2030 年代人口開始老化，政府需制定因應政策做好準備。,芋傳媒,2019-07-06
专为狗狗打造的豪华度假村,美国人经常像对待家人一样对待他们养的宠物狗。人们去度假的时候可能不会带着他们的狗，但他们希望在他们离家时，狗能得到很好的照顾。,VOA,2019-07-06
美前军人伊拉克战争期间 中13枪大难不死 12年后大学毕业,美国一名前军人于2006年在伊拉克连中13枪后大难不死，回国后重返校园，并在上周六大学毕业，取得迟来的运动科学学位。他坦言，至今仍像做梦一样，并计划持续进修，期望可以从事协助退伍美军融入社会的工作。史卓比诺曾任101空中突击部队中士，2006年被派往伊拉克捉拿一名目标人物，但遇上敌军还击。他当时右半身遭近距离连开13枪，其中一枪击中股骨，两枪击中肺部，还有一枪穿过颈部。他以为自己必死无疑，结果奇迹生还。回到美国后，他花了一年时间进行康复治疗，并决定重返校园。,Zaobao,2018-12-20
刘德华开唱 妻女公开捧场,相隔八年再办个唱，刘德华坠马康复连唱20场，昨晚（12月15日）妻女破天荒首次公开捧场。一连20场刘德华（华仔）的“My Love Andy Lau刘德华World Tour-Hong Kong 2018”演唱会昨晚在香港红馆展开，这是他发生坠马意外后首次开唱，因此吸引很多粉丝抢票，而他也卖力演出，全场爆满，不只他父母到场，向来注重隐私的华仔更首度让老婆朱丽倩、六岁女儿刘向蕙（Hanna）和父母现身台下欣赏演出，似乎已不介意女儿公开露脸。,Zaobao,2018-12-17
精神科醫師分析》照顧有精神症狀的失智長者...家屬該怎麼做？,近日新聞報導精神症狀的失智症患者，如人球一般未能在醫療院所治療或長期照顧機構收容,信傳媒,2018-12-17
爱犬骨灰安置49天 黄子佼心痛决定今生不再养狗,黄子佼的狗儿子“元气”日前寿终正寝，共活了18年又56天，换算成人龄已上百岁。黄子佼说和元气的相处无法复制，所以今后不再养狗。他在录影前的化妆室里谈起生活点滴，竟然逼哭了两名女记者，后者泪眼汪汪说感同身受。元气走后黄子佼当天将它火化，骨灰至今放置家中，依习俗49天后再撒骨灰。人走后7日回魂，据说狗5日会回来，黄子佼说：“过了5天了，它没回来，也没入梦，但我看得很透彻，它就是去修行，走下一段功课了。而它跟我相处这段，对我来说是很棒的生命教育，而且当年我事业低潮，每天在家躺着什么都不想做，为了照顾它我不得不起来，等于是它让我的生命重生。”,Zaobao,2019-02-23
失智翁遭鐵鍊拴門前 妻稱防亂跑社會處介入,苗栗縣 78 歲陳姓老翁，因失智多次外出走失，甚至遭車輛撞傷，陳妻為防止丈夫亂跑，以鐵鍊拴綁控制在三合院門前；苗栗縣政府今天指出，已轉介醫療資源，暫時安置。,芋傳媒,2019-04-15
女儿圆亡母遗愿 促成父亲娶家婆,中国陕西西安的一名赵姓女子，本月14日西洋情人节，带着61岁的父亲与57岁的婆婆，前往公家机关办理了结婚证，希望两位老人以后做个伴，赵女流泪说，这也圆了过世母亲的遗愿。赵女的母亲至本月14日刚好去世21天（三七），5年多前刚查出骨髓肿瘤时，就担心自己无法照顾老公终老，于是开始想找“可靠的人”接替她，就看上了女儿当时新寡的婆婆。,Zaobao,2019-02-19
中國荒謬的生育管制：鼓勵二胎罰三胎？山東夫婦生老三，被罰到連微信錢包都被凍結,中國面臨到人口老化的壓力，開始鼓勵民眾生二胎。但是，對生三胎的人，卻仍徵收高額「社會撫養費」，就連虛擬帳戶也收得一點零錢也不留。山東一對王氏夫婦的遭遇引發眾多網民為之叫屈。山東成武縣一對夫婦在生了第三胎之後，沒能上繳「社會撫養費」，被當地法院凍結財產及財付通，連微信錢包也沒能倖免,風傳媒,2019-02-19
突破政府边境防线 瓜伊多召义工投入人道救援,委内瑞拉总统马杜罗强调委国没有人道危机，并指控美国对委内瑞拉执行的经济制裁为物资短缺的元凶。 他强调已有上百万家庭受惠于政府发放的补给餐盒，而委国政府也向中国与俄罗斯购买药物及医疗器材。,DW,2019-02-18
中国严格实行二胎政策 山东夫妇生三胎遭罚,中国面临到人口老化的压力，开始鼓励民众生二胎。但是，对生三胎的人，却仍征收高额「社会抚养费」，就连虚拟帐户也收得一点零钱也不留。山东一对王氏夫妇的遭遇引发众多网民为之叫屈。,DW,2019-02-18
亲友送冯伟衷最后一程 感人悼词道万般不舍,冯伟衷的大哥伟健说：“当妈妈在他床边哭着时，他说的第一句话是，‘妈，别哭了。如果你哭，我也会跟着哭，而我现在很痛很痛’。他还说他过几天就康复，到时会带妈妈到新西兰的赌场走走。”,Zaobao,2019-01-28
昭和大学医院2名医生 涉嫌对女性下药施加性暴力：朝日新聞中文网,警视厅于27日宣布，因让女性吃下具有睡眠作用的药物并将其带回自家施加性暴力，故以涉嫌猥亵强拐与准强制性交为由，对昭和大学医院(东京都品川区)内科医生·金古政隆(28岁、家住品川区)、进修医生·大林久晃(26岁、家住横滨市都筑区)实施逮捕。,Asahi,2019-02-28
戰後嬰兒潮即將邁入退休，美國該如何因應人口與照護危機？,"美國還沒為即將到來的人力短缺做好準備。國會與白宮仍在虛與委蛇，在事情不演變成難以收拾的危機前它們似乎不想著手解決。然而，老年人照護是當前最昂貴的國內單一事項，它超出了「聯邦醫療保險」（Medicare） 與「低收入戶政府醫療補助」的預算，更打破了全美五十州以及多數中產階級的薪資預算。 標籤: Medicaid, 照護壓力, Medicare, 人口老化, 老年照顧者, 長照保險, 照護危機",NewsLens,2019-02-28
“学伴”事件不应沦为偏见与歧视的狂欢,李昊：不应排斥留学生，而应建立更科学、民主、透明、亲民的留学生政策。对留学生的优惠照顾应当讲原则、有时限。,FT,2019-07-18
用保險準備失智照顧費用 業者建議3大選擇考量,衛生福利部調查，截至 2018 年台灣失智症患者已逾 28 萬人，且每 38 分鐘新增 1 名失智症患者，衍生的長期照顧費用準備成問題。壽險業者建議，想用保單建立長照帳戶，應有 3 大考量。,芋傳媒,2019-08-12
保母老化與居家托育中心問題 民團籲改善,準公共托育政策滿周年，托育政策催生聯盟今天指出，現行辦法仍有兩大漏洞，一來「居家托育服務中心」欠缺法定地位，其次是保母人力嚴重老化，呼籲衛生福利部應修正相關法規。,芋傳媒,2019-08-12
科学家如何使用智能手机来控制向大脑输送药物过程？,,ALJAZEERA,2019-08-12
又出问题！德军最新武装直升机不得升空,德国联邦国防军一再碰到装备老化或失灵问题。现在，最新一代武装直升机又出现麻烦。由于安全隐患，所有“虎式”武装直升机暂时不允许升空。,DW,2019-08-12
歷史上的今天》8月11日──好萊塢一代笑匠 羅賓威廉斯悲劇結束一生,2014年8月11日，美國喜劇演員羅賓威廉斯（RobinWilliams）被發現在加州的寓所內自縊身亡，享年63歲。外界一度以為憂鬱症是導致他走上絕路的原因，不過他的遺孀蘇珊威廉斯（SusanWilliams）後來指出，丈夫是因路易氏體失智症（dementiawithLewybo,風傳媒,2019-08-12
病人自主權利法面面觀：失智父彌留7天不吃也不插管 子女不遺憾,長輩嚴重失智，要不要插鼻胃管餵食常令家屬掙扎。周貞利照顧失智父親多年，體認唯有認識疾病才能適時放下，父親彌留 7 天幾無進食也不插管，離世表情祥和，送別父親不留遺憾。,芋傳媒,2019-04-06
4900人上网请愿 力挺遭罚10万医生,医生为病人打针前没有提醒她可能出现一些并发症，结果被重罚10万元，事情曝光后5000人力挺医生，发起请愿希望卫生部长阐明政府在这方面的立场。网上请愿书前天下午2时许上线，短短两天已有超过4900人表示支持。《联合晚报》日前报道，执业近30年的骨外科专科医生林连安（译音，Lim Lian Arn）被指在为女病患注射药物前没有通知她相关的风险和并发症，使她无法做出知情选择。林医生因此被新加坡医药理事会纪律审裁庭重罚10万元的最高罚款额。,Zaobao,2019-01-26
政府停摆之痛：一个美国家庭的生活难以为继,“除非我们所有的债主都跟我们说‘别着急，你们被强迫休假了，等拿到钱的时候再还给我’，不然，我们就有麻烦了。”Tawanna Smith为照顾因胃癌刚做过手术的丈夫Charles而辞掉了工作，而Charles是一名退伍老兵，也是美国目前因政府停摆而被迫无薪休假的80万名联邦雇员之一。这则视频记录了他们因政府停摆而陷入的挣扎：没有收入，但账单仍源源不断涌来。图片/视频：Adam Falk,WSJ,2019-01-26
向歲月致敬 連美恩用攝影讓長者找到自信,長者若罹患失智，常會感到自卑、甚至自覺對社會無用。藝術工作者連美恩運用攝影專長，讓奶奶成為時尚潮模，不僅幫奶奶脫離失智絕望，也激發社會對於老人陪伴的思考。,芋傳媒,2019-06-01
点香驱二手烟 引大火母赔命,武吉班让致命火患，女儿出外打包午餐，出门前点两支香驱散邻居抽烟传来的二手烟，不料却引发大火，烧到纸箱或报纸，加上开动的风扇助长火势，坐轮椅的83岁失智老母亲，被烧成焦尸。,Zaobao,2019-06-01
2018編輯推薦書單【高齡篇】：人口變少又變老，我們的未來會怎樣？,"延續著前幾年在出版市場已經掀起的老人學或銀髮浪潮，2018年相關的作品也相當可觀。以下要推薦的五本書各自從不同的角度切入老化，推薦順序的安排是從整體社會的趨勢或變化到個人層面的相處與互動、從臨終回溯到長期照顧，再到如何維繫與長輩的日常相處。 標籤: 高齡化, 長期照顧, 未來年表, 七十歲死亡法案，通過, 棄老傳說, 楢山節考, 一個人的臨終, 上野千鶴子, 在宅醫療, 沒想到…我會變得這麼弱？, 朱國鳳, 如果父母老後難相處, 長照, 2018編輯推薦書單",NewsLens,2019-02-07
中国挤压下香港或掀新一轮移民潮,在1997年香港回归中国之前的几年里﹐数十万香港市民移居海外，如今有初步迹象显示﹐随着人们对公民自由、生活水平和生活质量的担忧加剧﹐新一轮移民潮可能即将到来。,WSJ,2019-02-07
当年获200元创业 如今200万报恩 富商25年恩情难忘,25年前，徐州市民张爱民拿出近一年的工资1000元人民币（约200新元）帮助浙江小伙孙胜荣开理发店。如今，在西班牙发家致富的孙胜荣为报答昔日恩情，投资1000万元人民币（约200万新元）为张爱民在徐州开了西班牙酒庄。1987年，15岁的浙江丽水青田人孙胜荣到哥哥在徐州开的理发店打工，与当时的店里常客张爱民（24岁）成为朋友。之后，孙胜荣到温州打工，但生活情况不佳，在街头偶遇张爱民，后者二话没说，拿出1000多元帮孙胜荣创业，还经常为孙胜荣打点伙食，当他是亲兄弟般照顾。,Zaobao,2019-03-15
花45天折千纸鹤送暖,15岁的玛德莲·克内肯斯的姨妈几年前因癌症过世，因此读到佐佐木祯子的生平故事时深受启发，决定为亚历山大医院的病患折纸鹤，祝愿他们能早日康复。家人因癌症病逝后，在我国土生土长的新加坡德国人学校学生，一人用了45天，折完1000只纸鹤，为亚历山大医院的病患送去丝丝温暖。,Zaobao,2019-03-15
仁慈医院新自动化设备 轮椅病患洗澡时间减半,病患只须坐在特制轮椅并系好安全带，护士再把他推入洗澡设备按下按钮后，设备便会自动喷洒出肥皂和水，为病患清洗身体。仁慈医院的轮椅病患洗澡比过去更方便，护士只要把他们推入新的洗澡设备，就能在4.5分钟冲洗干净，洗澡时间减半。这也让护士有更多时间，照顾病患的其他需求。,Zaobao,2019-03-15
美斥中國迫害穆斯林﹕1930年以來最嚴重,伊斯兰合作组织举行外长会议，其中公开表彰中国对其穆斯林社群的照顾。对此，美政府批评穆斯林国家未针对新疆议题谴责中国。此外，美国务院发布年度人权报告，严厉斥责中国对穆斯林的迫害。而北京则回击称华盛顿“充满意识形态偏见”。,DW,2019-03-15
七国科学家联合呼吁全球暂停编辑胚胎基因,来自7个国家的十几名科学家呼吁全球自愿停止对人类DNA编辑的临床使用，即通过对精子、卵子或胚胎的遗传性基因进行改变，培育出基因被改变了的婴儿。,VOA,2019-03-15
那英、蓝心湄力挺本地女团StellaVee,本地最新二人女团StellaVee，成员Vee易薇倪五年前只身到台湾发展，获蓝心湄照顾。StellaVee由Stella谢慧娴和Vee易薇倪组成，两人因参加2012年实况选秀比赛《Sunsilk明星学院》结缘。能唱也会创作歌曲的她们虽曾合作翻唱歌曲拍视频，也一起参演宣导短片集等，但直到前年才一起被海蝶音乐相中签约。,Zaobao,2019-03-15
“驱狐行动”2200网友联署 黄心颖二姐批网判官,“驱狐行动”2200网友联署，黄心颖二姐黄心妙狠批网上判官。黄心颖上月受“安心事件”影响，一直由姐姐轮流照顾。（互联网）黄心颖受“安心偷吃”影响，天天遭网民围攻，近日网民更发起“要求无线与黄心颖即时终止经理人合约”万人联署行动，目前已有逾2200人签署。黄心颖二姐黄心妙昨日在IG留言，感慨生活在充满语言暴力的世界：“很多人都认为他们可以做这种精神上和心理上侵犯别人的行为，大家都化身为判官，选择以暴易暴，我们的世界真的生病了。”,Zaobao,2019-05-04
新皇后陛下·雅子将继承传统养蚕活动 幼年曾照顾小蛇及蝾螈：朝日新聞中文网,育蚕成茧的活动“养蚕”。这项为了传承文化等、由历代皇后所肩负的传统，将由新皇后陛下·雅子继承。据悉，其实皇后陛下自幼便对小生物有所关心。,Asahi,2019-05-04
長照需求殷 北部高中職照服科招生難,全台65歲以上老年人口長期照顧需求提升，根據內政部2018年數據估算，全台有超過27萬名失智者，而且數字持續上升。雖然失智症並非正常老化的一部分，但也是高齡社會中不得不面對的課題。教育部卻從10...,PTS.org.tw,2019-07-25
從居家防跌到換工，打造「老得起」的社區互助網,"作者以老人防跌為議題成立了「防跌工班」，協助居家內外環境的改善，以預防長者跌倒。如此才能維持老人在社區獨立健康生活、減少醫療資源耗費和家庭照顧負擔，並重構老人的社會關係。 標籤: 暖暖, 基隆, 社區, 在地老化, 防跌工班, 換工互助, 老人跌倒, 在地安老, 社區工作, 老人防跌, 換工, 社會關係, 賦權, 社區互助, 社區照顧, 展齡",NewsLens,2019-07-25
奥克拉荷马州法官因强生公司助长阿片类危机判处其5.72亿美元赔偿,美国中西部奥克拉荷马州的一名法官下令强生公司向该州支付5.72亿美元的赔偿金，原因是该公司助长了该州的阿片类药物危机。,VOA,2019-08-28
大型科技公司正在失去光环？,格林：在大型科技公司工作曾是许多年轻人的梦想，现在它们的吸引力减退。原因包括丑闻、企业文化和年轻人追求的变化。,FT,2019-08-28
抗老化：我们真的渴望长生不老吗？,千百年来，永保青春一直都是人类不懈的追求。但如果真的能够阻止人体老化，世界又会发生什么事情呢？,BBC,2018-12-02
從畫作走進失智者內心世界 民團替長輩辦展覽,失智症患者受疾病影響，常陷入不好的回憶中，天主教失智老人基金會帶領長輩透過畫畫等創作找回美好記憶，並且舉辦展覽，讓社會大眾也能走進失智者的內心世界。,芋傳媒,2019-08-18
長壽之國的煩惱：日本90歲以上女性，逾7成罹患失智症,日本高齡少子化問題嚴峻，老人照護、失智症防治等相關問題，一直是政府的重要課題。千葉大學預防醫學中心教授近藤克則近日表示，據統計顯示，90歲以上的日本女性中，有高達7成多的女性患有失智症。為減緩失智症問題，日本政府於今年5月中，提出在未來6年內減少6%失智症罹患率的目標。認知症のお,風傳媒,2019-08-18
遗传分析：阿马齐格人是加那利群岛最早的定居者之一,,ALJAZEERA,2019-03-22
三星家族长女涉滥用麻醉药丑闻,有“三星公主”之称的韩国三星公司家族长女李富真，近日卷入滥用麻醉药“普洛福”的丑闻。韩国警方周四（21日）证实将到位于首尔江南区、怀疑非法提供麻醉药物的整容医院，检查处方药剂的管理手法，以决定是否立案调查。韩联社报道，一名医院的助理护士揭露，48岁的新罗酒店社长李富真静脉注射普洛福（丙泊酚，Propofol）成瘾。当地警方表示，这次行动说是针对李富真的立案前调查还言之过早；当局将会根据结果来决定下一步行动。,Zaobao,2019-03-22
有助診斷不同失智 英研究分析大腦蛋白結構,科學家研究拳擊手及其他運動員的受損大腦，發現頭部相關疾病「拳擊手腦病症候群」（punch drunk syndrome）的關鍵細節，這可能有助於發展出阿茲海默症的新診斷和治療方法。,芋傳媒,2019-03-22
精神病患励己励人,曾患上躁郁症的蔡惠君接受治疗后病情已受控制，她现在在银丝带组织工作，并在活动上分享经历，想让大众知道精神病不是绝症，患者可以控制病情也可以继续对社会做贡献。精神疾病或许会摧毁患者的意志，但也可能让人越挫越勇。蔡惠君（42岁，执行人员）2013年确诊患上躁郁症（bipolar disorder），至今仍在控制病情。漫长的康复之路并没使她意志消沉，反而让她下定决心，用自己的经历协助大众了解精神疾病，并且帮助其他病患对抗病魔。,Zaobao,2019-03-01
达赖喇嘛康复出院 已返回达兰萨拉,早前因胸腔感染而入院进行治疗的西藏精神领袖达赖喇嘛已经康复出院，并于26日返回印度北部的达兰萨拉。  美联社星期五报道，藏人行政中央司政洛桑森格与数名印度政府官员前往机场接机。数百流亡藏人手持哈达等欢迎达�,RFA,2019-04-27
动物园长颈鹿难产48小时 兽医抢救无效母子俱损,动物园14岁的长颈鹿露西（Lucy）难产48小时，兽医介入尝试取出胎儿，但露西在手术过程中心脏骤停，抢救无效母子最终都无法挺过难关。野生动物保育集团（Wildlife Reserves Singapore，简称WRS）星期二（2月5日）晚上在面簿上公布噩耗。这是14岁的露西首次怀胎，经过长达15个月的怀孕期，露西周末开始进入生产状态，但WRS指出，照料露西的兽医团队原本希望它能顺产，但经过48小时的观察和照顾，证实露西无法自然分娩，兽医只好介入抢救。,Zaobao,2019-02-06
駐顏有術靠科技 日本研究破解肌膚不老密碼,未來真能研發出延緩肌膚老化的乳霜嗎？.世人總說美麗是「膚淺」的，但誰不希望青春永駐？日本最新研究發現，肌膚不老關鍵或許就藏在某種蛋白質身上。,TWNews,2019-04-05
老司机低头一下害女乘客瘫痪 监两周吊牌24月,老德士司机开车时低头看了一下，结果德士冲上路堤撞栏杆，导致坐在后座的71岁女乘客四肢瘫痪，有生之年需依靠呼吸机，而且必须请全职看护来照顾。现年73岁的司机魏新宾（译音）昨天（4月3日）承认一项疏忽驾驶危害他人安全的控状，法官判监两周和吊销各级驾照24个月。车祸发生在去年5月5日，地点是后港8道朝往2道方向。,Zaobao,2019-04-05
華裔人口專家：中國經濟難望追上美國,儘管很多人都認為，中國在2010年取代日本成為全球第二大經濟體系之後，早晚都會超越美國成為世界第一，有些人甚至估計2030年就會勝過美國。但美國威斯康星州大學人口專家易富賢博士卻不認同這些樂觀的推測，易舉出的理由簡單不過，因為他們忽略了中國人口老化對經濟增長的負累。,RFI.fr,2019-04-05
特朗普称将推迟至少一年决定是否关闭美墨边界,美国总统特朗普说，他将推迟至少一年决定是否关闭美国与墨西哥边界。特朗普周四（4日）在白宫表示，他将给墨西哥一段时间来打击非法移民和阻止非法药物流入美国，如果未见成效，美国将对墨西哥征收汽车关税或关闭美墨边界。特朗普说，这是“为期一年的警告”。特朗普3月29日表示，除非墨西哥立即阻止中美洲移民通过美墨边界非法涌入美国，他“非常可能”最早4月初作出关闭美墨边界的决定。这一表态引发美国一些州政府和商业团体的反对。反对者担忧此举反将损害美国经济，扰乱供应链，推高美国市场上从鳄梨到汽车一系列消费品的价格。,Zaobao,2019-04-05
网上照片分享家长感同身受 育儿崩溃经历父母哭笑不得,家有一老，如有一宝。家有一“小”，却往往带来不少“灾难”，当父母的还必须有颗强壮的心脏。日本很多家长就在推特以#育儿冲击画面的标签，分享照顾小孩时发生的崩溃经历，很多家长看后都表示感同身受。从只会哭闹的婴儿时期到会爬、会说话，孩子一天天成长给人带来欣喜，但在成长过程中总有顽皮和各种小意外的时候。,Zaobao,2019-04-09
恐無憑證 自行照顧者憂不適用長照扣除額,財政部打算修法增列「長照扣除額」，一年12萬元，以減輕家庭經濟負擔，不過施行細則還沒公佈，有民間團體擔心，國內有一半能失智者，是由家人自行照顧，很有可無法受惠。...,PTS.org.tw,2019-04-09
科丝美诗推出微生物抗衰老化妆品,,Joins,2019-04-09
打击芬太尼 美议员要求追究中国官员责任,鸦片类合成药物芬太尼在美国泛滥引起忧虑，美方指控中国是芬太尼非法涌入的源头。美国议员周二提出议案，要求追究相关中国政府官员和普通个体的责任。,VOA,2019-03-06
美国食品和药物管理监督管理局局长戈特利布辞职,美国总统特朗普证实，美国食品和药物管理监督管理局（FDA）局长戈特利布（Scott Gottlieb）将在下月辞职。据CNBC之前报道，这位备受好评的FDA负责人已辞职，准备与家人共度更多时光。46岁的戈特利布担任这一职位两年，任职期间关注青少年药物上瘾问题，并努力推动对电子烟和烟草业的更严格监管。,Zaobao,2019-03-06
上课时替学生照顾宝宝 美国教授成网上热话,美国一名数学教授在授课时替学生照顾宝宝，被拍下照片后在网上疯传，获得一众网民大赞。,BBC,2019-03-06
佣人跑了 李珮菁吞药轻生 送院抢救,62岁台湾“月亮歌后”李珮菁一早透过脸书自曝轻生念头，传她吞食不明数量镇静剂，已被送往医院抢救，目前暂无生命危险。李珮菁在23岁那年因脊椎手术失败，下半身瘫痪坐轮椅近40年，她虽不良于行，却仍勇敢活下去。长期关照她的台湾优质生命协会秘书长纪宝如透露，李珮菁轻生是因为作息颠倒，留不住佣人，没人可以照顾她。,Zaobao,2019-03-06
主播转行摆摊十年 红上CNN,台湾三立电视前主播杨中化2008年毅然离开新闻圈，跟着罹癌的舅舅在市场摆摊卖起贡丸，从刚入行3个月卖不出一颗，到现在平均每4秒就能卖出一颗贡丸，他顺利打响名号，从市场摊贩翻身成为网路团购王，并被CNN列为台湾必吃美食，卖贡丸也能卖出一片天。杨中化至今卖贡丸已经超过10个年头，他昨天忆起当年想转行的契机，透露当时曾到关渡宫妈祖庙祈求妈祖娘娘，盼望能让他卖贡丸超过十年，他也发愿到时将在庙口摆摊感谢妈祖的照顾。,Zaobao,2019-03-06
台灣每84人就1人失智 要有高尋獲率的關鍵是...,當你走在路上碰上失智者你會怎麼做？隨著台灣邁入高齡社會，失智人口數也逐漸龐大，根,信傳媒,2019-03-06
杨幂离婚后首度奔香港见爱女 一见媒体立刻快闪,杨幂与香港演员刘恺威去年底无预警宣布离婚，5年婚姻破局，4岁女儿“小糯米”虽然由2人共同抚养，但多半待在香港由刘恺威父母照顾，昨日（5日）媒体便在香港机场捕获到杨幂的身影。据爆料者指称，此次她是专程探望宝贝女儿。杨幂昨天穿上牛仔外套，戴上帽子、口罩，低调现身香港机场，一路上被大批媒体包围，有记者追问女儿和前夫刘恺威一事，她都低头不语，助理则是在一旁挡驾，代为回应：“不回答私人问题！”之后快步坐上保母车离去。有网民看到这一幕，心疼表示杨幂的私下行程被近距离跟拍，希望外界能多给她一点个人隐私。,Zaobao,2019-03-06
国民党在台湾大选前慎言统一,在台湾明年即将举行大选之际，国民党方面的潜在候选人对于两岸统一问题都是作模糊处理，以照顾台湾民众的意愿。,FT,2019-03-06
研究人员：一男子接受干细胞治疗后艾滋病毒消失不见,研究人员在星期二的一次大会上介绍第二起某人在接受干细胞移植并停用抗逆转录病毒药物后体内不再有艾滋病毒迹象的已知案例。,VOA,2019-03-06
運用CCMSC Model，掌握與長輩溝通的訣竅,"在與長輩互動的時候會有許多細節需要注意，而Dr. Knight在其著作""Psychotherapy with older adults""中分享了他多年來與長輩諮商的經驗。 標籤: 高齡化, 人口老化, 溝通方式, 成熟度, 世代差異, 社會環境, 高齡長照小學堂",NewsLens,2019-08-02
板橋大觀社區強制拆除 大批警力維安,在新北地院發布執行命令下，板橋大觀社區拆除作業，今天出動大批警力維護安全，過程大致順利，預計 2 天拆完。原址規劃興建長照大樓，安置失智的退除役官兵及眷屬與社區長者。,芋傳媒,2019-08-02
