title,desc,source,date
長壽之國的煩惱：日本90歲以上女性，逾7成罹患失智症,日本高齡少子化問題嚴峻，老人照護、失智症防治等相關問題，一直是政府的重要課題。千葉大學預防醫學中心教授近藤克則近日表示，據統計顯示，90歲以上的日本女性中，有高達7成多的女性患有失智症。為減緩失智症問題，日本政府於今年5月中，提出在未來6年內減少6%失智症罹患率的目標。認知症のお,風傳媒,2019-08-18
有助診斷不同失智 英研究分析大腦蛋白結構,科學家研究拳擊手及其他運動員的受損大腦，發現頭部相關疾病「拳擊手腦病症候群」（punch drunk syndrome）的關鍵細節，這可能有助於發展出阿茲海默症的新診斷和治療方法。,芋傳媒,2019-03-22
駐顏有術靠科技 日本研究破解肌膚不老密碼,未來真能研發出延緩肌膚老化的乳霜嗎？.世人總說美麗是「膚淺」的，但誰不希望青春永駐？日本最新研究發現，肌膚不老關鍵或許就藏在某種蛋白質身上。,TWNews,2019-04-05
華裔人口專家：中國經濟難望追上美國,儘管很多人都認為，中國在2010年取代日本成為全球第二大經濟體系之後，早晚都會超越美國成為世界第一，有些人甚至估計2030年就會勝過美國。但美國威斯康星州大學人口專家易富賢博士卻不認同這些樂觀的推測，易舉出的理由簡單不過，因為他們忽略了中國人口老化對經濟增長的負累。,RFI.fr,2019-04-05
恐無憑證 自行照顧者憂不適用長照扣除額,財政部打算修法增列「長照扣除額」，一年12萬元，以減輕家庭經濟負擔，不過施行細則還沒公佈，有民間團體擔心，國內有一半能失智者，是由家人自行照顧，很有可無法受惠。...,PTS.org.tw,2019-04-09
科丝美诗推出微生物抗衰老化妆品,,Joins,2019-04-09
台灣每84人就1人失智 要有高尋獲率的關鍵是...,當你走在路上碰上失智者你會怎麼做？隨著台灣邁入高齡社會，失智人口數也逐漸龐大，根,信傳媒,2019-03-06
運用CCMSC Model，掌握與長輩溝通的訣竅,"在與長輩互動的時候會有許多細節需要注意，而Dr. Knight在其著作""Psychotherapy with older adults""中分享了他多年來與長輩諮商的經驗。 標籤: 高齡化, 人口老化, 溝通方式, 成熟度, 世代差異, 社會環境, 高齡長照小學堂",NewsLens,2019-08-02
板橋大觀社區強制拆除 大批警力維安,在新北地院發布執行命令下，板橋大觀社區拆除作業，今天出動大批警力維護安全，過程大致順利，預計 2 天拆完。原址規劃興建長照大樓，安置失智的退除役官兵及眷屬與社區長者。,芋傳媒,2019-08-02
紐約布魯克林「公園坡好鄰居」，一個沒有圍牆的老人中心,"潔德指出，公園坡好鄰居的存在，就像未雨綢繆先建立起一道安全網。「很幸運的，我們現在都還能照顧自己。但未來我們很可能會需要有人幫忙。鄰居先認識彼此，將來才可能互相關懷。」 標籤: 紐約, 布魯克林, 公園坡, 公園坡好鄰居, 在地老化",NewsLens,2018-12-16
「二孩政策」碰壁》托兒所一個月就要2萬2500元！ 養孩子太貴，中國夫妻嘆：論錢論體力，都養不起第二胎,為了解決勞動力萎縮和人口老化問題，中國政府從2016年鬆綁「一胎化政策」，推動「全面二孩」政策，鼓勵夫妻生第二胎。然而高昂的教育、醫療費用和層出不窮的毒奶粉、假疫苗新聞，卻讓許多父母卻步。「美國有線電視新聞網」（CNN）13日刊出的報導訪問到幾名中國的年輕母親，她們感嘆光孩子的托,風傳媒,2019-02-16
抗老延壽 明日葉含類黃酮有助清除細胞垃圾,日本植物明日葉微苦葉子向來被視為對健康有益，研究發現明日葉含類黃酮 DMC，似乎能誘發有助移除細胞垃圾的自噬作用。隨著細胞老化會累積細胞垃圾，進而引發連串疾病和失調。,芋傳媒,2019-02-21
城市設計對長者與輪椅族不友善，出門就像是一場戰鬥,"隨著醫療的進步，人類社會即將迎來史上第一次大規模的老化。到底老化有什麼問題？會帶來哪些影響？我們習以為常的城市空間又有什麼問題？ 標籤: 老年, 障礙, 輪椅, 通用設計, 無障礙設施, 老後行為, 老化, 全齡設計, 銀髮族, 高齡化, 障礙體驗, 高齡長照小學堂",NewsLens,2019-04-26
為什麼有人吃再多也不會胖？想減重不能不知的「基礎代謝率」,"隨著人體老化，基礎代謝率（BMR）大約每10年就會降低2％－3％（特別是久坐少動的人、降低的速度會再快一些）。究竟到底該如何增加基礎代謝率？為什麼有些人多吃也不會胖呢？ 標籤: 減重, 重量訓練, 重訓, BMR, 基礎代謝率, TDEE, 蛋白質, 熱量, 每日總消耗熱量",NewsLens,2018-12-30
用「記憶保養班」取代「失智中心」》這群人靠10件事進化長照2.0,長照2.0計畫從2017年7月正式上路後，服務項目從8項增為17項，服務網絡也開,信傳媒,2019-05-18
政府为预防失智症首设目标 70多岁人士患者比例6年减6%：朝日新聞中文网,政府于16日公布了将在2025年之前的6年之中，让70多岁人士中失智症患者的比例下降6%这一目标数值。,Asahi,2019-05-18
台大生農學院結合業者 研發農業智慧科技,為了因應極端氣候對於農業的衝擊，以及農業人口快速老化，台大生農學院與國內的無人機業者經緯航太，合作成立「先端智農實驗室」，希望透過智慧科技，提供農民更多有幫助的協助。...,PTS.org.tw,2019-08-19
台西文蛤近年育成率偏低 收成不到一半,雲林縣台西鄉文蛤養殖面積高達上千公頃，但近年來文蛤收成率越來越低，不僅養殖時間變長，也增加漁民成本。對此雲林縣農業處表示，文蛤育成率低造成原因複雜，但主要有池體老化、海水浮菌太多、底土太久沒換和...,PTS.org.tw,2019-06-23
《超級大腦飲食計畫》：結合間歇性斷食與低碳水飲食，增加大腦可獲得的酮,"當你有規律地飽食與禁食，身體每天都會產生自噬作用。不幸的是，今天我們少有機會讓自噬發生，因為飽食與禁食的天平永遠向飽食那一端傾斜。 標籤: 超級大腦飲食計畫, 失智, Max Lugavere, Paul Grewal, 間歇性斷食, 生酮飲食, 酮體, 自噬, 生長激素, 胰島素, 肌酸, 碳水化合物",NewsLens,2019-04-30
人類演化過程中消失的骨頭「豆骨」再次出現，可能就是你膝蓋痛的原因！,我們許多人有過膝蓋疼痛的經歷，特別是隨著年齡老化，膝蓋磨損增加。但是，現在英國帝國理工學院的專家說，在人類演化過程中被認為已經消失的膝蓋中的一塊小骨頭似乎又回來了。而它可能是造成一些人膝蓋疼痛，甚至關節炎的原因。這塊小骨頭的英文名字叫「fabella」。它長在膝蓋後面的肌腱中。醫,風傳媒,2019-04-30
美國比北韓還可怕、老年失智比癌症更糟糕！德國最新民調：所處世界比五年前更不安全,最新的一項問卷調查顯示，德國民眾將美國視為世界和平的最大威脅。德國一民調機構在周三發布有關安全議題的調查報告中，過半受訪者給出了該答案。根據戰略與高級領導中心（CentrumfürStrategieundhöhereFührung）週三（2月13日）發布的報告，56%的德國民眾認,風傳媒,2019-02-14
下半年试行夜间看护服务 协助照顾失智老人,护联中心今年下半年将与数间疗养院推出夜间喘息看护服务试验计划，让失智年长者的看护者在晚上能好好休息。卫生部兼律政部高级政务部长唐振辉在国会指出，患有失智症的年长者晚上有可能会很活跃，导致看护者无法好好补眠。夜间喘息看护服务将能照顾有睡眠或行为问题的失智年长者，或与他们进行活动，好让看护者可以获得充足睡眠。,Zaobao,2019-02-14
怎麼知道該「植牙」還是做「根管治療」？30年資深牙醫師的真心勸告,台灣隨著人口老化日趨嚴重，促使牙齒修復、假牙與植牙的需求增加，也更加重視口腔的美,信傳媒,2019-03-08
【專訪】敗選後的民進黨「青年」發言人：黨的危機就是流失年輕人,"發言人李晏榕說，長遠來看黨的決策階層老化，會是個危機，秘書長羅文嘉也有看到，吸引、培養年輕人加入民進黨很重要，不然未來這個黨就會消失了。 標籤: 民進黨發言人, 李問, 李晏榕, 民進黨發言人, 民進黨, 發言人, 政治工作, 黨工, 青年參政, 青年, 執政黨, 政黨",NewsLens,2019-05-21
家在九二一震災區 林育秀研究創傷與失智症關係,中正大學資管系助理教授林育秀家在九二一震災區，她發現家鄉 20 年前創傷後壓力症候群盛行率從 7.6 %攀升至 32 %，最近獲科技部補助，將以 3 年研究創傷後症候群與失智症的關係。,芋傳媒,2019-05-21
「山手線」的存在目的，是讓台中不再是車的城市，而是人的城市,"台中是台灣第二大都市，未來人口老化及資源整合集中，都市規模的將日益巨大，鐵路的行車平穩、時間的穩定準確，是降低私人運具時的較合適選擇，而山手線的建設，是完成此一願景的重要關鍵。 標籤: 山手線, 台中市, 盧秀燕, 輕軌, 捷運, 前瞻二期",NewsLens,2018-12-29
义顺墨镜嫂一年36次扰邻 缓刑半年,义顺“墨镜嫂”一年多来36次骚扰邻居而惹祸上身，今早坐轮椅出庭被判接受半年缓刑监视，庭上揭露她患有失智症。《新明日报》之前报道，在义顺环路第112座组屋。一名“墨镜嫂”夜夜洒盐、泼油、卤汁、尿，还扔厕纸和卫生棉，两邻居叫苦连天，以木板和椅子筑起“防护墙”。,Zaobao,2018-12-29
去年10月推出 “失智症之友”手机应用助寻获50多名患者,“失智症之友”手机应用已有4500多人登记。护联中心透露，报失踪的失智症患者，年龄介于50岁至90岁。每一名失踪者都在10小时内寻获，有的自行回家，一些是由家人或善心公众寻获。原本只是例常的夜间遛狗活动，林明才意外通过“失智症之友”的应用通知，及时协助一户家庭寻回失踪的失智症家人。,Zaobao,2019-03-14
國健署邀阿公阿嬤尬舞 參賽者超過14萬歲,全台 65 歲以上老人已突破 352 萬人，為活躍老化並預防失能，國健署連續 9 年舉辦銀髮舞蹈比賽，今年共有 59 支隊伍報名，累計超過 14 萬歲的阿公、阿嬤將上台尬舞，一圓舞台夢。,芋傳媒,2019-08-13
飲食中碳水化合物比例高達85％，沖繩人為何仍健康又長壽？,"沖繩人不僅活得久，更重要的是他們身體還很頗硬朗，年紀超過90歲依然很有元氣，老化相關的疾病也比較慢出現。基因、生活環境，還有飲食都可能跟他們比較長壽與健康有關係。那麼，到底是什麼樣的飲食模式呢？ 標籤: 營養師, 營養, 人瑞, 地瓜, 傳統沖繩飲食, 碳水化合物, 長壽, 生活食安小學堂",NewsLens,2019-05-03
別讓「文組生」學非所用：如何在全球趨勢下找到台灣的文化定位？,"教改後的世代與劃出了一大鴻溝，也具備不一樣的能力，但許多人卻都「學非所用」，在世界急遽變化之際，「年輕文組」的責任其實在於認清台灣的風格，搭建起世代和族群中的溝通橋樑，進而用這樣的共同意志帶台灣走入國際。 標籤: 全球化, 產業轉型, 台灣價值, 文化, 溝通, 品牌, 文創, 老化",NewsLens,2019-08-29
荷蘭首例！忘記曾簽署安樂死聲明……失智老婦臨死抵抗施打藥劑，醫師「因未充分理解意願」遭到起訴,荷蘭是世界上第一個通過安樂死合法化的國家，其執行條件是，經專業醫療人員多次嚴格審核，確定「無任何機會與希望」可以改善「患者不堪忍受的痛苦」，患者方可選擇接受安樂死。這不僅適用於重症患者，部分心理疾病和失智症患者也適用。2016年，荷蘭出現第一起醫師因安樂死糾紛遭起訴的案件，74歲,風傳媒,2019-08-29
三位「失智卻不失志」的生命鬥士，如何優雅地與失智共舞？,"他們的生命依舊多彩，沒有被失智症蒙上宿命的陰影，為什麼這三位「失智，卻不失志」的生命鬥士，仍能優雅的「與失智共舞」呢？我訪談並觀看完三部短片後，發現原來他們擁有三大共通點。 標籤: 失智症, 與失智共舞, 生活型態, 延緩退化, 生命價值",NewsLens,2019-02-17
2050年人類可到150歲？主要死因恐將是「自殺」,人類從古自今始終關注長生不老的研究，日媒表示，華盛頓大學教授今井真一郎等人發現具有抑制老化功能的長壽基因，並找出能使該基因產生的酶保持活力的物質，「將用2到3年證明對人是否有效」，若搭配其他研究得以推進，2050年人類將接近不老不死，主要死因可能將會是「自殺」。據《日經中文網》報導，華盛頓大學教授今,NewTalk.tw,2019-02-17
失智妇为寻儿子 从泰国走到云南,泰国曼谷一名患有失智症的妇人，早前离家出走，寻找住在附近的儿子。但一离开家门就是8个月，她竟不知不觉地徒步抵达逾640公里以外的中国云南。妇人周五（15日）获送返泰国，暂未知以何路线越过老挝、缅甸等国边界。59岁的阿里阿于去年6月12日离开清莱府的住家后，一直失踪。她上月底在中国昆明被人发现时，身上仍然持有一张泰国身份证，当地的官员与大使馆联络。,Zaobao,2019-02-17
国际特稿：韩国老人退休怕失业,人口老龄化是现今世界面对的问题，韩国的情况格外严峻。经济合作与发展组织的资料显示，超过60岁的韩国高龄人口雇佣率和贫困率，都是世界之最。韩国法定退休年龄为60岁，但实际上法定退休到来时，韩国人却不得不重新找工作——由于前半生收入几乎都花在儿女身上，老来养老金微薄，加上子女自顾不暇无力奉养，一般韩国老人必须自力更生，放下身段寻求按日按时计酬的“低质量”工作，赚取些微收入维持生活，平均工作到72岁才真正退休。,Zaobao,2019-02-24
失智老人乱提款易受骗 万亿日元资产岌岌可危,京都府立医科大学心理学教授成本迅指出，与失智者进行商业交易可能导致企业面对风险，因为患者家属可能上门要求取消交易。（东京路透电）在日本这个老龄化和寿命都位居世界前列的社会，失智老人多达数百万人。由于认知功能衰退，他们连生活都无法自理，更别说打理个人资产，所以不时有失智老人糊里糊涂提取巨款或是钱财被骗。,Zaobao,2018-12-15
「滾動執行」已兩年的長照2.0，未來會有健全的一天嗎？,"長照2.0雖不致病入膏肓，但發展至今，問題也盤根錯結，一路且戰且走的衛福部應重新檢視問題之所在，分別從政策及組織面改進；以政策科學方法，進行政策評估，並重塑組織文化、檢討組織結構，加速完成電腦系統、相關法規子法等建制，強化溝通與宣傳能量，期望能在2020年先健全長照2.0體系的基礎建設。 標籤: 長照2.0, 民進黨, 衛福部, 支付制度, 居家服務, 長照ABC, 社區整體照顧模式, 出院準備服務, 共照中心, 認知症, 失智症",NewsLens,2018-12-15
《抗氧化物的奇蹟》：為什麼陽光對皮膚的傷害如此劇烈而深入？,"把你臉上的皮膚和平常很少照到陽光的皮膚做一下比較，就可以清楚的看到不同。大多數人臉上的皮膚看起來一定比較老，有著比較粗糙的質地，或許還有皺紋和一些晒斑。但是照不到陽光的部位，肌膚通常是平滑、柔潤、沒有皺紋的。 標籤: 陽光, 皮膚癌, 老化, 抗氧化, 抗氧化物的奇蹟, 萊斯特派克、卡羅科曼",NewsLens,2019-04-28
還在玩老化濾鏡？「FaceApp」蒐集8000萬人臉，傳出安全疑慮！專家警告：俄羅斯開發者能任意存取用戶圖像,繼前陣子snapchat的「童顏濾鏡」風潮後，近日，俄羅斯無線實驗室公司推出的另一款變臉軟體「FaceApp」在instagram上又掀起一股年齡挑戰熱潮，許多名人如饒舌歌手德瑞克、「詹皇」勒布朗・詹姆士、強納斯兄弟及南韓知名演員朴敘俊等都透過FaceApp製作自己變老模樣的照片,風傳媒,2019-07-19
梁國源專欄：當四朵烏雲「同在一起」,當前全球經濟面臨的風險不止於四朵烏雲的表象，更在於其彼此交纏，以及背後的人口老化、生產力成長減緩、民粹主義興起及財政預算浮濫等結構性問題，絕非頭痛醫頭、腳痛醫腳可解決。今年二月國際貨幣基金組織（ＩＭＦ）主席拉加德（ChristineLagarde）指出，當前全球經濟受四朵烏雲籠罩,風傳媒,2019-04-08
中国人口老龄化危机：2018拐点？,在出生率不断下降的情况下，中国的社会、经济以及政治会受到什么样的影响？,RFA,2019-01-22
獨留失智婦 女外籍看護判刑6月驅逐出境定讞,印尼籍看護文文擔任一名失智婦人看護，因不滿遭婦人咬、打，將婦人綁在輪椅上後不告而別。高院依遺棄罪判文文 6 月徒刑，刑後驅逐出境。最高法院今天駁回上訴，全案定讞。,芋傳媒,2019-04-25
台博館與北市聯醫打造「失智友善博物館」 關懷、外出成另類處方箋,台博館攜手北市聯醫簽訂合作備忘錄共同打造「失智友善博物館」，透過訓練志工進行導覽，及定期舉辦有趣的展覽活動，讓診療方式變得更有趣，也讓患者活得更有尊嚴及品質。,TWNews,2019-05-07
轮椅男拉失智母天天“回老家” 一绳系母子情,母子情深！一条绳子系着两张轮椅，也紧紧系着一对母子的感情。44岁轮椅男用绳牵着坐在轮椅的74岁失智聋哑母，过去三年来，天天花三小时搭地铁，从盛港住家来返牛车水，在咖啡店坐上四小时，只因母亲不舍老地方，要到这里找老街坊聊天。一名读者告诉《联合晚报》，他在牛车水克罗士街（Cross Street）第34座组屋，经常见到一对以轮椅代步的母子出现在咖啡店，一呆就是整个上午，下午时分才离开。,Zaobao,2019-03-10
日本65歲以上高齡駕駛肇事率近2成 各地「老司機」自主返還駕照,日本日前通過《道路交通法》修正案，自2017年3月起，加強75歲以上高齡駕駛的認知功能檢查，一旦被醫師判定有罹患失智症的可能性，便可依醫師診斷證明，收回高齡駕駛的駕照。新法上路以來，沖繩縣內已有4起撤銷駕照的案例，且與2014年的數據相比，有多達2倍的高齡駕駛開始自主返還駕照；東,風傳媒,2019-05-11
台北市屋齡老化嚴重 柯Ｐ有三大挑戰正待解決,據統計，目前台灣危老建物重建的申請案，全國已達273件，其中已核定148件，光今,信傳媒,2019-07-23
高榮屏東分院護理之家啟用 擴增至299床,屏東縣 65 歲以上老年人口已超過 13 萬人，因應地方人口老化長期照護需求殷切，高雄榮民總醫院屏東分院護理之家原設置 100 床，新建擴增至 299 床，新建護理之家今天開幕啟用。,芋傳媒,2019-07-23
助年長者對抗孤獨 新加坡租借花園鼓勵村里精神,新加坡是全球老化速度第 2 快的國家，僅次南韓，但成千上萬老人在都市化的同時感到孤苦伶仃。為遏止節節攀升的長者自殺率，當局推動綠化活動，透過讓長者栽種植物打擊寂寞。,芋傳媒,2019-07-23
蕭徐行觀點》天災經濟老化  令和時代的巨大挑戰,日本天皇明仁以自己年事已高，想退居幕後為名正式退位，讓位其子德仁接任天皇，開啟日本新的「令和」時代。「平成」是日本近代第一個沒有經歷戰爭的承平年代，雖然平成時代日本成為了世界主要經濟大國，但卻也是天災不斷，社會老化與經濟停滯的30年。如今接手的「令和」面對垂垂老矣的國度，中國政治經濟的強大競爭壓力與,NewTalk.tw,2019-05-01
「阿茲海默症藥物試驗」突然終止，3000名實驗患者備感驚訝,"如果數據顯示aducanumab能夠如預期的減少類澱粉蛋白，但是患者整體的認知能力仍沒有進步，那我們就得考慮是否要繼續將焦點放在類澱粉蛋白上來找出治療方法。 標籤: aducanumab, 臨床試驗, 阿茲海默症, 失智, 類澱粉蛋白, tau",NewsLens,2019-04-12
「抗膽鹼藥物」是否與較高的失智症風險有關？,"若真要檢視抗膽鹼藥物是否對罹患失智症的風險產生影響，研究人員必須找一群正在服藥的受試者，要求他們停止服用後，再將他們罹患失智症的比率與持續服藥的人相比，看看兩者間是否有任何差距。 標籤: 抗膽鹼藥物, 阿茲海默症, 失智症, 乙醯膽鹼",NewsLens,2019-07-22
為何現行糖尿病預防失效？醫師：看「這個數值」比血糖更早偵測糖尿病風險,隨著人口快速老化、吃太好、少運動，加上肥胖盛行，全球每8秒，就有1人死於糖尿病，,信傳媒,2018-12-19
「我要當機了」《初戀的情人》道出高齡社會下的失智患者心聲,2018年台灣偶像劇《初戀的情人》，經由描述中年人的愛情觀與婚姻生活，探討早發性,信傳媒,2019-02-25
调查：逾四成受访者 希望退休后仍可灵活工作或当义工,一项最新调查显示，新加坡人的退休观念正在蜕变。超出四成的受访者希望，金钱充足之余，退休后仍可灵活地工作、兼职或当义工。这个比率明显高于全球平均和区域平均。这项网络调查由资产管理公司贝莱德（Blackrock）在去年7月至8月间进行，访问了13个国家的2万7000人。其中，1500名来自新加坡，年龄介于25至74岁。该调查试图探讨，在人口逐渐老化之际，国人能否从容退休。,Zaobao,2019-02-27
央行認證人口老化帶來隱憂 捨不得花錢難拚經濟,台灣經濟模式轉為倚賴內需，但民間消費增速連 3 年低於經濟成長，且台灣為數眾多的中高齡者，也被央行總裁楊金龍認證，比起花錢更愛存錢，顯見人口結構轉變將不利衝刺內需，將帶來經濟隱憂。,芋傳媒,2019-07-15
長照需求人口7年後破百萬！平均每日工時11小時、連續工作8年無給職… 一窺照顧者困境,全年無休、無薪、無輪班替手、平均日工時逾11小時、工作年數7.8年…，什麼工作血汗至此？怎會有人做？不要懷疑，為了照顧年邁失能的家人，越來越多國人被迫兼職，甚至成為全職的家庭照顧者。衛福部更指出，台灣人口快速老化，推估2026年國內長照需求人口將一舉突破百萬，屆時放眼望去，能置身,風傳媒,2019-07-15
嘉義六腳鄉藝術學堂 提升老人美學敏感度,六腳鄉的人口老化比例是嘉義縣各鄉鎮之冠。根據統計，平均每五個人就有一個是老人，因此特別設置藝術美學學堂，讓高齡人口可以在閒暇時間學習藝術。...,PTS.org.tw,2019-06-17
调查：本地七成失智症国人感到寂寞和被排斥,本地七成的失智症国人感到寂寞和被社会排斥。新加坡管理大学和新加坡失智症协会访问了5600名本地的失智症患者、看护者和公众，了解他们对失智症的看法。调查结果显示，72%的失智症患者感到寂寞、被排斥，有一半觉得无法向他人公开谈论自己的病情，超过一半觉得人们会对他们的能力打折扣。也有超过一半的公众自认对失智症缺乏了解，跟失智症患者沟通时也感到有些不舒服。,Zaobao,2019-04-29
嘉市推「銀髮人力中心」 媒合熟齡長輩就業,因應人口老化的問題，嘉義市政府與慈善團體合作，推出銀髮人力資源中心，為50歲至65歲的長輩，提供職業訓練與工作媒合。...,PTS.org.tw,2019-07-31
預防緩解失智症  陽明研發超音波頭盔,陽明大學團隊研發「低強度脈衝式超音波頭盔」，以非侵入性的物理治療方法來預防或緩解失智症，還可與藥物相輔相成，今天在未來科技展中展示研發結果。科技部主辦的「2018未來科技展」於今天在台北世貿三館揭開序幕，展現全國上百所學研機構研發的創新技術，聚焦高齡醫學的陽明大學，也於現場展示多項研發。面對高齡社會,NewTalk.tw,2018-12-14
跌倒会发短信 智能地毯可监测独居老人居家行动,面对新加坡人口老龄化的趋势，南洋理工学院工程系高级讲师傅国强博士研发了一款“夜监智能地毯”，记录并监测独居老人居家动态。这款智能地毯看上去和普通的地毯一样，但是可通过互联网技术将老人的活动上载到云端，一旦监测到不寻常的动态，便会发送手机短信给家人或看护者。,Zaobao,2018-12-14
5招助失智症患者 减少冲凉恐惧,冲凉是日常生活的一部分，但许多失智症患者对冲凉产生恐惧，让不少看护者头疼。该如何克服这难题？且听新加坡失智症协会的建议。失智症患者需要冲凉，以预防皮肤感染和体臭，但一些患者会非常抗拒冲凉，而与看护者产生摩擦，甚至敌意。遇到这种情形，建议看护者深呼吸，并理解冲凉和浴缸对我们来说是正常的，但失智症患者有可能对它们感到恐惧。新加坡失智症协会建议尝试,Zaobao,2018-12-14
「Stan哥」退休當白老鼠，施振榮投入電玩為失智危機找解方,"許多人好奇，施振榮是否有獨特養生秘訣？事實上，他長年茹素，幾乎天天在公園日走萬步。更特別的是，雖然是個知名企業家，他口袋裡的錢永遠不超過3000元。懂得「減法」，反倒是心靈豐盛的秘訣。 標籤: 施振榮, 遊戲防老, 智榮基金會, 復健腦力, 養生秘訣",NewsLens,2019-02-05
报告：三代同堂家庭减少 独居或子女没同住家庭增加,我国人口逐渐老龄化，三代同堂家庭减少了，独居或没有和子女同住的家庭却增加了，但家庭仍旧是年长者最重要的支柱，大部分年长者表示若需要帮助时，会向家人求助。社会及家庭发展部昨天（2月12日）公布《2000年至2017年新加坡家庭老化报告》时，公布以上趋势。根据报告，我国在2000年时有19万2800户家中有至少一名65岁或以上年长者的居民家庭，比率占了21.1%。到了2017年，有年长者的家庭增加至40万1800户，比率也增加至31.1%。,Zaobao,2019-02-13
失智友善博物館處方箋 文化醫療活化記憶,北市聯醫攜手國立台灣博物館，簽署「失智友善博物館」合作備忘錄，共同發表「失智友善博物館處方箋」，宣示雙方推動整合性失智照護與失智友善社區的決心。,芋傳媒,2019-05-08
311大震災8週年 逾5萬人還疏散在外,造成逾 2 萬人死亡及失蹤的 311 東日本大震災屆滿 8 週年，目前還有約 5 萬 2000 人疏散在外，災區面臨人口減少、老化的問題。發生核災的福島第一核電廠正進行艱辛的廢爐作業。,芋傳媒,2019-03-12
衛福部推350所失智友善社區 助減輕負擔,今年台灣的失智人口將超過28萬人，但七成失智症屬於輕微，醫師提醒，讓老人多多走出家門，衛福部也在全台推動350所失智友善社區據點，減輕家庭照顧負擔。...,PTS.org.tw,2019-03-12
失智症患者 能否继续养宠物？,养宠物是终生承诺，但许多人会质疑，失智症患者是否有能力继续照顾宠物；有的患者会在诊断失智后，赶紧替宠物找新主人。即使患者不愿意，可能身边的人也会劝他这么做。究竟失智症患者能不能继续养宠物？且听新加坡失智症协会的建议。研究显示，照顾宠物对失智症患者有帮助：患者能给予宠物无条件的爱，也能从宠物身上感受到爱；照顾宠物也能刺激感官，让患者感到安慰和快乐。,Zaobao,2018-12-04
那霸·牧志市场迎来最后的营业日 新朋旧友纷纷惜别：朝日新聞中文网,于1972年开业的冲绳县那霸市第一牧志公设市场因老化而需重建，且在16日迎来了最后的营业日。卖场塞满了当地的常客及来自国内外的观光客，依依惜别。市场将自7月1日起移转至临时店铺，于2022年度(2022年4月至2023年3月)在新的建筑物中重新启程。,Asahi,2019-06-18
新新聞》人口老化引進外國勞動者，6成日本人徬徨不安,五月五日是日本的兒童節，這是令和年以來第一個兒童節。然而在黃金周長假的歡樂氣氛中，現實卻籠罩著陰霾。日本十四歲以下的兒童人口大約一五三三萬人，比去年減少十八萬，是總務省有紀錄以來的最低點；但老年人口卻迅速飆升，七十歲以上的總數超過二六○○萬人，占日本人口比例的二○．七％，換句話說,風傳媒,2019-05-12
爬樓梯會喘，要怎麼區別是年紀大了還是心臟衰竭？,"如果是因為老化體力漸漸變差，可能在10年後降為3層樓，然後再降為2層樓。心臟衰竭則是在短時間內體力變差。只要覺得惡化很快，就要小心去尋找可能的原因。 標籤: 夜間頻尿, 心臟衰竭, 頻尿, 游致顯, 胸痛",NewsLens,2019-07-30
為出門不得不把失智長輩拴椅子、24小時無法喘息？一通電話將翻轉「老人顧老人」困境,一天24小時都待在長輩身邊，翻身上廁所坐輪椅都要幫忙扛，這生活真能撐上20年嗎？隨著台灣社會越來越「老」，諸多長照悲歌也漸漸浮上檯面；有婦女把公公拴在陽台曝光後輿論激烈討論照顧失智長輩是多麼心力交瘁，也有長輩遭毆打人們才知照顧者有多累，這些無奈社工當然也看在眼裡──但這一切並不是,風傳媒,2019-02-01
統計至去年底 台灣每84人中有1人失智,根據統計，台灣失智人口到去年底，已超過28萬人，平均每84人，就有1人是失智者，而且警政署統計發現，每年失智症失蹤人口報案約有1800人，失智走失預防越來越重要。專家建議家屬，可以幫失智者更新身...,PTS.org.tw,2019-03-05
想睡個好覺，該如何挑選適合自己的「枕頭高度」？,"一般來說，身體大的人──或許也可說是頭型較大的人──理想的枕頭高度也會與其成正比而逐漸變高。大致上來說就是因應體格，理想高度大約在5～9公分之間。 標籤: 枕頭, 寢具挑對，好眠能瘦抗老化，記憶力增強, 久保田博南, 五日市哲雄, 睡覺, 枕頭高度",NewsLens,2019-03-05
《千利休：無言的前衛》：日本人認為褪色、老化、乾涸，是無可取代的好東西,"或許我們生長在水與樹之中的日本人，有種生活上的防禦天性，認為老東西只要留在神聖的境界裡就好。結果我們硬是把所有老東西定位為遙不可及的夢想，把老東西趕出日常生活，放在生活之上。於是這些陳舊、黯淡、不飽和的色調，就高高在上支配著日本人。 標籤: 寺廟修繕, 佛像, 寵物公害, 文鳥, 醍醐寺, 五重塔, 千利休, 赤瀨川原平",NewsLens,2019-04-20
台灣邁入高齡社會 陳其邁：長照就是媽祖,近日媽祖話題正夯，行政院副院長陳其邁今天表示，台灣社會正面臨快速老化問題，未來「長照就是媽祖」，照顧失能老人的照顧員則是幕後英雄，盼將長照資源深入社區，嘉惠民眾。,芋傳媒,2019-04-20
為何1/4的日本年輕人沒有性經驗？研究證實「與社經地位高低有關」，學者：有錢才好辦事,日本新生兒數量逐年遞減、65歲以上銀髮族占人口總數27.7%，人口老化與少子化兩大問題，長久以來一直是日本政府關注的焦點。日本東京大學和瑞典卡羅林斯卡學院的團隊，8日在英國醫學雜誌《BMC公共衛生》上發表的研究結果顯示，日本18至34歲的成年人中，有近四分之一的人沒有異性間的性經,風傳媒,2019-04-11
